table_id	hypothesis	label
T14	Flatliners is pretty close to two hours long.	E
T14	Rick Bieber put more money into Flatliners than Michael Douglas did.	N
T14	Flatliners made 50 million over it's budget at the box office.	C
T14	Flatliners was a film that was able to net money at the box office.	E
T14	Flatliners was mostly produced by Michael Douglas.	N
T14	Flatliners was a movie that was over two hours long.	C
T14	Flatliners made over double what it cost to make at the box office.	E
T14	Flatliners was Peter Filardi's first writing credit.	N
T14	Flatliners was released in the winter of 1990.	C
T20	The rappers Flatbush Zombies got their start on the east coast.	E
T20	The rappers Flatbush Zombies have been signed by a big label.	N
T20	The rappers Flatbush Zombies are known for performing with rock bands.	C
T20	Flatbush Zombies have made music for over five years now.	E
T20	Flatbush Zombies have worked with rappers outside of New York.	N
T20	Flatbush Zombies are signed to RCA records.	C
T20	Flatbush Zombies are named, in part, after the city they are from.	E
T20	Flatbush Zombies preferred making music with RecordsWarner over The Glorious Dead.	N
T20	Flatbush Zombies have been active as a band for over 10 years.	C
T146	Jeff Bridges has been a performer since they were 2 years old.	E
T146	Jeff Bridges has lived their entire life in California.	N
T146	Jeff Bridges has had five children.	C
T146	Jeff Bridges was born in the Winter of 1949.	E
T146	Jeff Bridges prefers singing to composing things.	N
T146	Jeff Bridges has been active in his career for less than 60 years.	C
T146	Jeff Bridges was born in the winter of 1949.	E
T146	Jeff Bridges has a brother and a sister.	N
T146	Beau Bridges mother is Susan Geston.	C
T203	The capital of Japan is located in Tokyo.	E
T203	The government of Japan has a constitution.	N
T203	The majority of people that live in Japan are ethnically Korean.	C
T203	Japan's House of Councillors is higher than the house of representatives.	E
T203	The Ainu people are the most popular type of Japan's native ethnic group.	N
T203	Judaism is the most popular religion in Japan.	C
T203	Over half of the people in Japan practice Folk Shinto as a religion or have no religion.	E
T203	If the Prime Minister of Japan dies, the Deputy Prime Minister immediately takes his place.	N
T203	Japan is made up of between 90 and 95% Japanese people.	C
T207	Burn Energy was introduced relatively close to the Millenium.	E
T207	The Burn Lemon Ice variety is more popular than the Burn Blue variety.	N
T207	Burn Energy comes in over ten varieties or flavors.	C
T207	Burn Energy was made by the same company that makes Monster.	E
T207	Burn Energy was successful at increasing energy for people that drank it.	N
T207	Burn energy came in a chocolate flavor.	C
T207	Burn Energy comes in many different flavors.	E
T207	Burn Energy is Monster's top selling energy drink.	N
T207	All Burn Energy drinks are sugar free.	C
T274	Fawad Khan is a Pakistani entertainer.	E
T274	Fawad Khan studied to become a computer programmer before becoming an entertainer.	N
T274	Fawad Khan married his spouse before he became active in the entertainment industry.	C
T274	Fawad Khan is a very famous model and actor not only just a musician.	E
T274	Fawad Khan has won many awards including a gramy in the USA.	N
T274	Fawad Khan did a record with Jay Z that was very popular.	C
T274	Fawad Khan was signed to Lips Music when he married Sadaf Khan.	E
T274	Fawad Khan's children are both in their teens.	N
T274	Fawad Khan has been performing music for over twenty years.	C
T306	Europe is originally from a northern European country.	E
T306	Europe has been touring the world for the past fifteen years.	N
T306	Europe has been active nonstop for the past forty years.	C
T306	Europe has had a long career in the Hard Rock business.	E
T306	Europe has several number one hits in the billboards charts.	N
T306	Europe is a Pop French band that recorded with Universal.	C
T306	Europe has been active off and on since the 70s.	E
T306	The labels for Europe are major Swedish companies.	N
T306	Europe started in 1979 and been making music uninterrupted since.	C
T323	The Czech Republic came out of Czechoslovakia.	E
T323	Bohemians and Czechs are the same people.	N
T323	The Czech Republic was part of the European Union before independence.	C
T323	Czech Republic separated from the Austria-Hungary Empire over 100 years ago.	E
T323	.Czech Republic was one of the first countries to join the European Union.	N
T323	Kingdom of Bohemia was esatablished before the Duchy of Bohemia.	C
T323	Czech Republic gained independence in late the 20th century.	E
T323	Czech Republic joined the European Union for protection from Russia.	N
T323	Czech Republic lost independence in 2004.	C
T331	Bryan Adams is a Canadian Pop Singer.	E
T331	Bryan Adams owns the record label A&M.	N
T331	Bryan Adams was born in Hamilton in Ontario.	C
T331	Bryan Adams is a Canadian musician.	E
T331	"Bryan Adams wrote and performed ""Everything I Do."""	N
T331	Bryan Adams has been active since his twenties.	C
T331	Bryan Adams was originally born in Canada in the winter of 1959.	E
T331	The singer Bryan Adams learned piano before he could sing.	N
T331	The musician Bryan Adams spent the majority of his life in the United States.	C
T370	Everclear is an American rock band.	E
T370	Everclear is made up of four members.	N
T370	Everclear disbanded and reunited multiple times.	C
T370	Everclear has been active for more than a quarter of a century.	E
T370	The Cleopatra record label is located in Portland, Oregon.	N
T370	Everclear's music can only be categorized into a single genre.	C
T370	Everclear are from the Pacific Northwest region of the United States.	E
T370	Everclear were signed to Capitol records throughout the 1990's.	N
T370	Everclear have been performing grunge music for over thirty years.	C
T433	The movie Concussion was written and directed by the same person.	E
T433	The movie Concussion was based on a popular book.	N
T433	Concussion came out in the United States before being shown at AFI fest.	C
T433	Concussion is an American film.	E
T433	Concussion is about the NFL treatment of injuries to the brains of their players.	N
T433	Concussion made more at the box office than its budget.	C
T433	'Concussion' was written and directed by Peter Landesman.	E
T433	Columbia Pictures distributed 'Concussion' to the AFI Fest first to gain notoriety.	N
T433	'Concussion's' box office was greater than its highest budget estimate.	C
T447	China has had two republic periods.	E
T447	China's People's Republic came because of the failings of the the government in place since 1912.	N
T447	China's constitution came before the People's Republic was proclaimed.	C
T447	The People's Republic of China had their current constitution written in the 1980s.	E
T447	The People's Republic of China has had similar political policies since 1949.	N
T447	The People's Republic of China has had the same ruling families for over 1000 years.	C
T447	People's Republic of China was declared ahead of the Proclamation.	E
T447	The current constitution has not changed since its inception.	N
T447	The Proclamation of the People's Republic preceded the People's Republic declaration.	C
T458	Contract bridge is a multi-player card game.	E
T458	Contract bridge is limited to only 4 players.	E
T458	Contract bridge is purely luck based.	C
T458	The game Contract bridge is often played in a group of people.	E
T458	The game Contract bridge has been professionally played.	N
