table_id	hypothesis	label	strategies	table_rows
T1730A	Jon Hamm and Jennifer Westfeldt married before Hamm began acting.	E	100000	['Years active', 'Partner(s)']
T1730A	Jon Hamm couldn't graduated from college.	C	010000	['Alma mater']
T1730A	Jon Hamm graduated from Penn State University with a bachelor's degree in business.	N	001000	['Alma mater']
T1730A	Jon Hamm graduated from the University of his home state.	C	100000	['Alma mater', 'Born']
T1730A	Jon Hamm has been active for more than 25 years.	E	100000	['Years active']
T1730A	Jon Hamm has been active since his teens.	E	100000	['Born', 'Years active']
T1730A	Jon Hamm has won awards for his singing.	N	000100	['Occupation']
T1730A	Jon Hamm is a middle-aged actor.	C	100000	['Born']
T1730A	Jon Hamm was an occulist before he was an singer.	N	000100	['Occupation']
T1730B	Jon Hamm and Jennifer Westfeldt married before Hamm began acting.	E	100000	['Partner(s)', 'Years active', 'Occupation']
T1730B	Jon Hamm graduated from college in 1968.	C	010000	['Alma mater', 'Born']
T1730B	Jon Hamm graduated from the University of his home state.	C	100000	['Born', 'Alma mater']
T1730B	Jon Hamm graduated with a bachelor's degree in business and a minor degree in acting.	N	000100	['Alma mater']
T1730B	Jon Hamm has been active for more than 25 years.	E	100000	['Years active']
T1730B	Jon Hamm has been active since his teens.	E	100000	['Years active', 'Born']
T1730B	Jon Hamm has won awards in 1986 - 2001 for his acting roles.	N	001000	['Years active', 'Occupation']
T1730B	Jon Hamm is an old-aged actor.	C	010000	['Born', 'Occupation']
T1730B	Jon Hamm was a singer after he married Jennifer Westfeldt.	N	001100	['Partner(s)', 'Occupation']
T1730C	Jon Hamm and Jennifer Westfeldt married 10 years after Hamm began acting.	E	000100	['Partner(s)', 'Years active']
T1730C	Jon Hamm graduated from Gaiety School of Acting with a bachelor's degree in business.	N	001000	['Alma mater']
T1730C	Jon Hamm graduated from college in Sydney.	C	010000	['Alma mater']
T1730C	Jon Hamm graduated from the University of his home state.	C	100000	['Born', 'Alma mater']
T1730C	Jon Hamm has been active for more than 25 years.	E	100000	['Years active', 'Occupation']
T1730C	Jon Hamm has been active since his teens.	E	100000	['Born', 'Years active']
T1730C	Jon Hamm has won awards for his acting roles since 1987.	N	001000	['Occupation', 'Years active']
T1730C	Jon Hamm is a trained younng acter graduated Gaiety School of Acting.	C	001000	['Alma mater', 'Born']
T1730C	Jon Hamm was a producer before he was an actor.	N	100000	['Occupation']
