table_id	distance	counterfactual_hypothesis	counterfactual label	original_hypothesis	original_label	strategies	counterfactual_table_rows
T1464A	0.0	John James Rickard Macleod died in a country outside of where he was born.	E	John James Rickard Macleod died in a country outside of where he was born.	C	100000	['Died', 'Born']
T1464A	0.0	John James Rickard Macleod was in his fifties when he died.	C	John James Rickard Macleod was in his fifties when he died.	E	100000	['Died']
T1464A	0.0	John James Rickard Macleod, FRS faced death in the Spring of 1935.	C	John James Rickard Macleod, FRS faced death in the Spring of 1935.	E	100000	['Died']
T1464A	0.0	John James Rickard Macleod, FRS shared the Nobel Prize of in Physiology or Medicine 1923 with the other co-discoverer(s) of insulin.	N	John James Rickard Macleod, FRS shared the Nobel Prize in Physiology or Medicine with the other co-discoverer(s) of insulin.	N	001000	['Awards', 'Known for', 'Fields']
T1464A	0.0	John James Rickard Macleod, FRS was a British Nobel Prize winner.	C	John James Rickard Macleod, FRS was a British Nobel Prize winner.	E	100000	['Citizenship']
T1464A	0.0	John James Rickard Macleod, FRS was born early in the 19th century.	E	John James Rickard Macleod, FRS was born early in the 19th century.	C	100000	['Born']
T1464A	0.0	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	E	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	C	100000	['Awards', 'Born']
T1464A	0.3047177795558139	John James Rickard Macleod was at the top of his class on Astronomy when he attended the University of Massachusetts Boston.	N	John James Rickard Macleod was at the top of his class when he attended the University of Aberdeen.	N	001000	['Fields', 'Alma mater']
T1464A	0.4002838422031165	"John James Rickard Macleod, FRS discovered insulin while still studying in University of
Massachusetts Boston."	N	John James Rickard Macleod, FRS discovered insulin while still in university.	N	001000	['Alma mater']
T1464B	0.0	John James Rickard Macleod, FRS faced death in the Spring of 2005	C	John James Rickard Macleod, FRS faced death in the Spring of 1935.	E	010000	['Died']
T1464B	0.2611475743055159	John James Rickard Macleod was in his thirties when he died.	C	John James Rickard Macleod was in his fifties when he died.	E	010000	['Died']
T1464B	0.27565872857451434	John James Rickard Macleod died in the same country where he was born.	E	John James Rickard Macleod died in a country outside of where he was born.	C	010000	['Born', 'Died']
T1464B	0.2852780159723282	John James Rickard Macleod, FRS was born in the 19th century.	E	John James Rickard Macleod, FRS was born early in the 19th century.	C	010000	['Born']
T1464B	0.3013103086908287	John James Rickard Macleod, FRS was a American noble prize winner.	C	John James Rickard Macleod, FRS was a British Nobel Prize winner.	E	010000	['Awards', 'Citizenship']
T1464B	0.44513732561597724	The Order of Culture was awarded to John James Rickard Macleod, FRS 	E	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	C	010000	['Awards']
T1464B	0.46122800932180247	John James Rickard Macleod was never good in his class when he attended the University of Massachusetts Boston.	N	John James Rickard Macleod was at the top of his class when he attended the University of Aberdeen.	N	000100	['Alma mater']
T1464B	0.6412725536121784	John James Rickard Macleod, FRS shared the Order of Culture with his co-partner. 	N	John James Rickard Macleod, FRS shared the Nobel Prize in Physiology or Medicine with the other co-discoverer(s) of insulin.	N	000100	['Awards']
T1464B	0.662160252622472	John James Rickard Macleod, FRS was awarded Order of Culture while he was still in the university	N	John James Rickard Macleod, FRS discovered insulin while still in university.	N	000100	['Awards']
T719A	0.0	Cristiano Ronaldo is a British Millenial.	E	Cristiano Ronaldo is a British Millenial.	C	100000	['Date of birth']
T719A	0.0	Cristiano Ronaldo is a European athlete..	C	Cristiano Ronaldo is a European athlete..	E	100000	['Place of birth']
T719A	0.0	Cristiano Ronaldo is a famous footballer PSG.	N	Cristiano Ronaldo is a famous footballer for Juventus.	N	000100	[]
T719A	0.0	Cristiano Ronaldo is a famous forward in his 30's.	C	Cristiano Ronaldo is a famous forward in his 30's.	E	100000	['Playing position', 'Date of birth']
T719A	0.0	Cristiano Ronaldo plays an offensive position rather than defensive.	C	Cristiano Ronaldo plays an offensive position rather than defensive.	E	100000	['Playing position']
T719A	0.0	Ronaldo stands over 6 and a half feet tall.	E	Ronaldo stands over 6 and a half feet tall.	C	100000	['Height']
